year,round,race_name_tracked,model,predicted_tracked,predicted_current,actual_p10_tracked,actual_pos_tracked,actual_pos_current,fantasy_pts_tracked,fantasy_pts_current,fantasy_pts_delta,pick_changed,_merge
2025,17,Azerbaijan Grand Prix,xgb_clf,hulkenberg,stroll,hadjar,16,17,6,4,-2,True,both
2025,18,Singapore Grand Prix,xgb_clf,hadjar,hadjar,sainz,11,11,18,18,0,False,both
2025,19,United States Grand Prix,xgb_clf,alonso,hadjar,alonso,10,16,25,6,-19,True,both
2025,20,Mexico City Grand Prix,xgb_clf,tsunoda,tsunoda,bortoleto,11,11,18,18,0,False,both
2025,21,São Paulo Grand Prix,xgb_clf,alonso,tsunoda,gasly,14,17,10,4,-6,True,both
2025,22,Las Vegas Grand Prix,xgb_clf,bearman,hamilton,bearman,10,8,25,15,-10,True,both
2025,23,Qatar Grand Prix,xgb_clf,hulkenberg,hamilton,tsunoda,20,12,0,15,15,True,both
2025,24,Abu Dhabi Grand Prix,xgb_clf,alonso,lawson,stroll,6,18,10,2,-8,True,both
2025,1,Australian Grand Prix,xgb_ranker,bortoleto,bortoleto,hamilton,16,16,6,6,0,False,both
2025,2,Chinese Grand Prix,xgb_ranker,ocon,stroll,sainz,5,9,8,18,10,True,both
2025,3,Japanese Grand Prix,xgb_ranker,bearman,bearman,bearman,10,10,25,25,0,False,both
2025,4,Bahrain Grand Prix,xgb_ranker,tsunoda,alonso,bearman,9,15,18,8,-10,True,both
2025,5,Saudi Arabian Grand Prix,xgb_ranker,albon,hadjar,hadjar,9,10,18,25,7,True,both
2025,6,Miami Grand Prix,xgb_ranker,hadjar,alonso,tsunoda,11,15,18,8,-10,True,both
2025,7,Emilia Romagna Grand Prix,xgb_ranker,ocon,ocon,tsunoda,20,20,0,0,0,False,both
2025,8,Monaco Grand Prix,xgb_ranker,albon,ocon,sainz,9,7,18,12,-6,True,both
2025,9,Spanish Grand Prix,xgb_ranker,lawson,albon,max_verstappen,11,19,18,1,-17,True,both
2025,10,Canadian Grand Prix,xgb_ranker,ocon,ocon,sainz,9,9,18,18,0,False,both
2025,11,Austrian Grand Prix,xgb_ranker,colapinto,colapinto,ocon,15,15,8,8,0,False,both
2025,12,British Grand Prix,xgb_ranker,bearman,bearman,russell,11,11,18,18,0,False,both
2025,13,Belgian Grand Prix,xgb_ranker,gasly,gasly,gasly,10,10,25,25,0,False,both
2025,14,Hungarian Grand Prix,xgb_ranker,antonelli,bearman,antonelli,10,20,25,0,-25,True,both
2025,15,Dutch Grand Prix,xgb_ranker,antonelli,antonelli,ocon,16,16,6,6,0,False,both
2025,16,Italian Grand Prix,xgb_ranker,albon,albon,hadjar,7,7,12,12,0,False,both
2025,17,Azerbaijan Grand Prix,xgb_ranker,bearman,stroll,hadjar,12,17,15,4,-11,True,both
2025,18,Singapore Grand Prix,xgb_ranker,tsunoda,hadjar,sainz,12,11,15,18,3,True,both
